track_name,artist,album,track_url,preview_url,artist_url,genres,file_location,spectrogram
Return to the Land of Light,Veonity,Elements of Power,https://api.spotify.com/v1/tracks/0Emk8sW23KfDwqP1fFfpA7,https://p.scdn.co/mp3-preview/e733181b9387dd49cfc61508b5011b295cfa747c?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3Zero2Ovi9miqMvjcNpobH,"['melodic', 'metal', 'sci-fi', 'symphonic', 'power']",../data/audio/Return to the Land of Light-Veonity.wav,../data/images/spectrograms/Return to the Land of Light_Veonity_spectro.png
Happy Ending,The Amsterdam Red Light District,Happy Ending,https://api.spotify.com/v1/tracks/4EtkoeMFTvOEGI3XLodioJ,https://p.scdn.co/mp3-preview/214b932e7c8142e0898682b8829ec0a165e48c60?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/1ptorm1HpGuBCrIE5BLijx,['metal'],../data/audio/Happy Ending-The Amsterdam Red Light District.wav,../data/images/spectrograms/Happy Ending_The Amsterdam Red Light District_spectro.png
Peace That Starts the War,Wolves At The Gate,Peace That Starts the War,https://api.spotify.com/v1/tracks/3GDGBicHo5vRMYOEvqSURs,https://p.scdn.co/mp3-preview/acc2b257b8d2e7ee67c99f5bde890a4286154422?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/0Z88iXWc4YVhtu1eFtsGk6,"['christian', 'metal', 'metalcore', 'rock', 'post-hardcore']",../data/audio/Peace That Starts the War-Wolves At The Gate.wav,../data/images/spectrograms/Peace That Starts the War_Wolves At The Gate_spectro.png
UGLY,GHØSTKID,UGLY,https://api.spotify.com/v1/tracks/1OeUAnQzyziBEwnZEg7pet,https://p.scdn.co/mp3-preview/bbf9f31986e034cc826e5bb0de574364c1048033?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/2ooWmQC4NQUQZ3z00mZQyK,['metalcore'],../data/audio/UGLY-GHSTKID.wav,../data/images/spectrograms/UGLY_GHSTKID_spectro.png
Caved In,Spite,Caved In,https://api.spotify.com/v1/tracks/2BAuNSD3o86LargMzbXNrQ,https://p.scdn.co/mp3-preview/03604067ed3e0a6505673b90b82a8f5545efcc34?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/2DynE7m1BMVl4hQMvCXXq0,"['downtempo', 'deathcore', 'metallic', 'hardcore', 'progressive']",../data/audio/Caved In-Spite.wav,../data/images/spectrograms/Caved In_Spite_spectro.png
Handshake with Hell,Arch Enemy,Handshake with Hell,https://api.spotify.com/v1/tracks/2t5NYzZgq3cf7ck9Eg51ZQ,https://p.scdn.co/mp3-preview/00948e31ba2af7f14993a06fce41a4436ce4fa2b?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/0DCw6lHkzh9t7f8Hb4Z0Sx,"['death', 'metal', 'melodic', 'melodeath']",../data/audio/Handshake with Hell-Arch Enemy.wav,../data/images/spectrograms/Handshake with Hell_Arch Enemy_spectro.png
MONSTER,Wake Up Hate,MONSTER,https://api.spotify.com/v1/tracks/4uBMTjCHwPhOtpKnt6fevp,https://p.scdn.co/mp3-preview/9134e01e22f6a78632490e547fc64b227bb605b2?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/6ifZyHLaUfu3ViOaGfz8fk,"['deep', 'metalcore', 'gymcore', 'post-hardcore']",../data/audio/MONSTER-Wake Up Hate.wav,../data/images/spectrograms/MONSTER_Wake Up Hate_spectro.png
Bury My Flame,Glasslands,Bury My Flame,https://api.spotify.com/v1/tracks/1kRguNpOF4WiqJBn732Rvx,https://p.scdn.co/mp3-preview/eff7bbf1b42b0fa042c8921b8b3458fa3241a364?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/1uaz4cRw5clcnWJIswU6Jy,"['christian', 'hard', 'rock', 'post-hardcore']",../data/audio/Bury My Flame-Glasslands.wav,../data/images/spectrograms/Bury My Flame_Glasslands_spectro.png
Hate Über Alles,Kreator,Hate Über Alles,https://api.spotify.com/v1/tracks/66DYinBSnJ7zSI8uL4ZGjb,https://p.scdn.co/mp3-preview/c57d65b9bc2775907e854aa6f7176aafdfb6532c?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3BM0EaYmkKWuPmmHFUTQHv,"['death', 'metal', 'thrash', 'hard', 'rock', 'melodic', 'old-school', 'speed']",../data/audio/Hate ber Alles-Kreator.wav,../data/images/spectrograms/Hate ber Alles_Kreator_spectro.png
Forsaken,Everyone Loves A Villain,Forsaken,https://api.spotify.com/v1/tracks/2kUhIBVXdehPdngbBAQLPQ,https://p.scdn.co/mp3-preview/1d9612bac10cf4418de845d4d62b407505551205?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/4v9rMwiF0d2Fh7bStHloi1,"['gymcore', 'post-hardcore']",../data/audio/Forsaken-Everyone Loves A Villain.wav,../data/images/spectrograms/Forsaken_Everyone Loves A Villain_spectro.png
Resentment Always Simmers,Napalm Death,Resentment is Always Seismic - a final throw of Throes,https://api.spotify.com/v1/tracks/1YoD30xA6djOwx65bUSgPc,https://p.scdn.co/mp3-preview/3c388e1e040ad7677ac34cce2a62535ffc4346cc?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3UqRgrDIQ208yNGiWKRMNt,"['metal', 'death', 'deathcore']",../data/audio/Resentment Always Simmers-Napalm Death.wav,../data/images/spectrograms/Resentment Always Simmers_Napalm Death_spectro.png
The Unknown II,Edge Of Paradise,The Unknown II,https://api.spotify.com/v1/tracks/5eztcG9yt3G8M9StPjMwhI,https://p.scdn.co/mp3-preview/d0d410f1310348aa978d1453db0ffdcef2444eb6?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/45MvWoWLKlKglPHeKiVlJY,"['melodic', 'metal', 'slayer']",../data/audio/The Unknown II-Edge Of Paradise.wav,../data/images/spectrograms/The Unknown II_Edge Of Paradise_spectro.png
Plastic Heart,Fame on Fire,Plastic Heart,https://api.spotify.com/v1/tracks/4hfA3mKxMHm7cOdFHMcfen,https://p.scdn.co/mp3-preview/38ea37ba50804010a67fc5faf915d6e0558e651e?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/10Z7WzKMeIdNBKexi1YarP,['post-hardcore'],../data/audio/Plastic Heart-Fame on Fire.wav,../data/images/spectrograms/Plastic Heart_Fame on Fire_spectro.png
The Unkillable Soldier,Sabaton,The Unkillable Soldier,https://api.spotify.com/v1/tracks/1h98WxD3tsMfb4YlB2wBDS,https://p.scdn.co/mp3-preview/d838665471e63e02e8456c3690d6b8583ca29bfa?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3o2dn2O0FCVsWDFSh8qxgG,"['metal', 'power']",../data/audio/The Unkillable Soldier-Sabaton.wav,../data/images/spectrograms/The Unkillable Soldier_Sabaton_spectro.png
Demons,Cabin Boy Jumped Ship,Demons,https://api.spotify.com/v1/tracks/2HCTiLjTqadpandq5oS3zW,https://p.scdn.co/mp3-preview/32c0a2d34010f79b031cc565d7204ae17d3901b7?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/4DgFNYd8vdx6ew57alHC0S,"['electronic', 'djent', 'metalcore', 'post-hardcore']",../data/audio/Demons-Cabin Boy Jumped Ship.wav,../data/images/spectrograms/Demons_Cabin Boy Jumped Ship_spectro.png
New Devil (feat. Maria Brink of In This Moment),Asking Alexandria,Never Gonna Learn EP,https://api.spotify.com/v1/tracks/1lqTpQzSgGZZ850bimyxMP,https://p.scdn.co/mp3-preview/3972cbca47c6cf496065c1669cbbaa9a539c6e09?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/1caBfBEapzw8z2Qz9q0OaQ,"['melodic', 'metalcore', 'screamo', 'trancecore']",../data/audio/New Devil feat Maria Brink of In This Moment-Asking Alexandria.wav,../data/images/spectrograms/New Devil feat Maria Brink of In This Moment_Asking Alexandria_spectro.png
Northwards,Amorphis,Halo,https://api.spotify.com/v1/tracks/5NS3gor1NtqKcp55Y6M2oD,https://p.scdn.co/mp3-preview/ecaf222c6e9fb0907a65d3e1398f7c322e445588?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/2UOVgpgiNTC6KK0vSC77aD,"['death', 'metal', 'melodeath', 'gothic', 'melodic', 'power', 'progressive']",../data/audio/Northwards-Amorphis.wav,../data/images/spectrograms/Northwards_Amorphis_spectro.png
Break The Silence,Breathe Atlantis,Break The Silence,https://api.spotify.com/v1/tracks/6abtzJMSDIosKqVe8KUToF,https://p.scdn.co/mp3-preview/ca575f5ae259374fb9abc568e1e3f013ed6b2742?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/6YLWRVTViX4bm2mGxRy9XN,"['metalcore', 'post-hardcore']",../data/audio/Break The Silence-Breathe Atlantis.wav,../data/images/spectrograms/Break The Silence_Breathe Atlantis_spectro.png
Demon Supreme,Lordi,Demon Supreme,https://api.spotify.com/v1/tracks/4gA4TtxgtVdx1lXirn3QdC,https://p.scdn.co/mp3-preview/118c149230f9eae1b68f2bb610aa9d2ea3c86dde?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/14SgKNlOCKAI0PfRD1HnWh,"['comic', 'metal', 'hard', 'rock', 'heavy', 'power']",../data/audio/Demon Supreme-Lordi.wav,../data/images/spectrograms/Demon Supreme_Lordi_spectro.png
The Abysmal Eye,Meshuggah,The Abysmal Eye,https://api.spotify.com/v1/tracks/7Iogi1NuInEAxMBOreCB3b,https://p.scdn.co/mp3-preview/e1c90193050f6983c99f23b954574021f04fea94?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3ggwAqZD3lyT2sbovlmfQY,"['alternative', 'metal', 'djent', 'progressive', 'groove', 'technical', 'thrash']",../data/audio/The Abysmal Eye-Meshuggah.wav,../data/images/spectrograms/The Abysmal Eye_Meshuggah_spectro.png
Plenty,Northlane,Plenty,https://api.spotify.com/v1/tracks/6sBYUZjVuI9fOqoafHUfoN,https://p.scdn.co/mp3-preview/db10896e9b37821122f343c4b8219d2c90334545?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3qyg72RGnGdF521zMU02u9,"['metalcore', 'deep', 'melodic', 'djent', 'nu metalcore', 'progressive']",../data/audio/Plenty-Northlane.wav,../data/images/spectrograms/Plenty_Northlane_spectro.png
Gravity,The Disaster Area,Gravity,https://api.spotify.com/v1/tracks/6pdJg5TlOExPtqeJYHmQG1,https://p.scdn.co/mp3-preview/5b75964547e4e2dc6b087031d3fe7925e9771cc8?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/5cNBtvhQCLKWInveVFe49O,"['metalcore', 'post-hardcore']",../data/audio/Gravity-The Disaster Area.wav,../data/images/spectrograms/Gravity_The Disaster Area_spectro.png
Apocalyptic Squirt Tsunami,Gutrectomy,Apocalyptic Squirt Tsunami,https://api.spotify.com/v1/tracks/5OzSyjvPn0rWTqswfZJUf3,https://p.scdn.co/mp3-preview/2ac49c1e60ca12416d1043cf13dd744497e4596e?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/0GAUayKtM7XULaNosOHwaD,"['progressive', 'deathcore', 'slamming', 'death', 'metal']",../data/audio/Apocalyptic Squirt Tsunami-Gutrectomy.wav,../data/images/spectrograms/Apocalyptic Squirt Tsunami_Gutrectomy_spectro.png
Lights & Fire,Wolves At The Gate,Lights & Fire,https://api.spotify.com/v1/tracks/1SlOs4l9WvJ4bITuyZXHqc,https://p.scdn.co/mp3-preview/a8fa15bac01d47af630d02dbfa2b06f802b8f521?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/0Z88iXWc4YVhtu1eFtsGk6,"['christian', 'metal', 'metalcore', 'rock', 'post-hardcore']",../data/audio/Lights  Fire-Wolves At The Gate.wav,../data/images/spectrograms/Lights  Fire_Wolves At The Gate_spectro.png
Nigh to Silence,ERRA,Nigh to Silence,https://api.spotify.com/v1/tracks/3si5YKMfvQtTBgLFDChRsi,https://p.scdn.co/mp3-preview/f6abf5f17f983091b7a66c0e9c001b5670d15ca3?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/2UoOdQyBGyzrEfxcY77ce0,"['metal', 'melodic', 'metalcore', 'progressive']",../data/audio/Nigh to Silence-ERRA.wav,../data/images/spectrograms/Nigh to Silence_ERRA_spectro.png
Venerate Me,HammerFall,Venerate Me,https://api.spotify.com/v1/tracks/6D1i1hoMyjs843XbMhNq8J,https://p.scdn.co/mp3-preview/c425c4f74e85058c3ec4b007a182cdf928f2c3ef?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/2o18h28enlHxj887tATc58,"['metal', 'melodic', 'neo', 'classical', 'power']",../data/audio/Venerate Me-HammerFall.wav,../data/images/spectrograms/Venerate Me_HammerFall_spectro.png
"Move, Act, Progress",Winds Brought Siberia,"Move, Act, Progress",https://api.spotify.com/v1/tracks/2NQfHQh1PbcjfimnTmL9hG,https://p.scdn.co/mp3-preview/aef8b8c4e73ff87fbbcbcb85a42830abd2b7eb34?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/5xbm0K8uQEUPvcmIT7VNPQ,['metalcore'],../data/audio/Move Act Progress-Winds Brought Siberia.wav,../data/images/spectrograms/Move Act Progress_Winds Brought Siberia_spectro.png
New Evil,Nocturna,New Evil,https://api.spotify.com/v1/tracks/2IvaXSzA8LFKhSVvJV0xtZ,https://p.scdn.co/mp3-preview/472b180dbf83a1c6d599a81ed0f40a7733687466?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3Eo8pwg5OKX59PKpAFfPqX,"['melodic', 'metal', 'symphonic', 'power']",../data/audio/New Evil-Nocturna.wav,../data/images/spectrograms/New Evil_Nocturna_spectro.png
Misguided,AVIIRA,Avalanche,https://api.spotify.com/v1/tracks/3XzHz4DaqxbsjDEoEyW0RX,https://p.scdn.co/mp3-preview/34108e5a73427b59d92a2229bfb4c70bd98aba83?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/5jrO7JLjq5hKKKENDwrun4,['metalcore'],../data/audio/Misguided-AVIIRA.wav,../data/images/spectrograms/Misguided_AVIIRA_spectro.png
Light of Dawn,Empire of Giants,Light of Dawn,https://api.spotify.com/v1/tracks/63TvC9rK0DUzlEqbOyMFaX,https://p.scdn.co/mp3-preview/60be6f23f714d85ff8e5f14cb0ad19997b2a1e26?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/2iDBMuEcWVNmcxgHHnwm16,['metalcore'],../data/audio/Light of Dawn-Empire of Giants.wav,../data/images/spectrograms/Light of Dawn_Empire of Giants_spectro.png
Blood in the Sands of Time,Shadow of Intent,Elegy,https://api.spotify.com/v1/tracks/4evo7dv7goRstcgHFhcJMQ,https://p.scdn.co/mp3-preview/922e5150d0167b49e70e13094e1233c70ce4b16f?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/76xrrejizyQpKukBIhnf3D,"['melodic', 'deathcore', 'symphonic']",../data/audio/Blood in the Sands of Time-Shadow of Intent.wav,../data/images/spectrograms/Blood in the Sands of Time_Shadow of Intent_spectro.png
Standing My Ground,The Veer Union,Standing My Ground,https://api.spotify.com/v1/tracks/2VysUNrUa2ADjbWFq9mXeM,https://p.scdn.co/mp3-preview/1c9a7442a156f215aee52f8933173d7e50508cb2?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/2WQQRKpu2PMLsHSrUJmyCS,"['alternative', 'metal', 'christian', 'rock', 'gymcore', 'hard', 'nu', 'post-grunge', 'post-hardcore']",../data/audio/Standing My Ground-The Veer Union.wav,../data/images/spectrograms/Standing My Ground_The Veer Union_spectro.png
Death,LANDMVRKS,Death,https://api.spotify.com/v1/tracks/2kfSeL9vDusN2hHnMJXbgs,https://p.scdn.co/mp3-preview/6c8c052e5deed2cc6fa89b8c9dbd8c3966e39cdc?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/6G43CiunIxMwb2tQ12vNP6,['metalcore'],../data/audio/Death-LANDMVRKS.wav,../data/images/spectrograms/Death_LANDMVRKS_spectro.png
Kingdom,Like A Storm,OKURA,https://api.spotify.com/v1/tracks/3gDw8qWNBNbKR2dKTmAEB5,https://p.scdn.co/mp3-preview/616dac48578fdb2b09d076b0811f06de6ea4015f?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/5gFZo6Oh5WehnbEj0XtxiF,"['alternative', 'metal', 'gymcore', 'hard', 'post-hardcore']",../data/audio/Kingdom-Like A Storm.wav,../data/images/spectrograms/Kingdom_Like A Storm_spectro.png
Skin,Oceans,"Hell Is Where The Heart Is, Pt. I: Love",https://api.spotify.com/v1/tracks/4i19NWcezW6rXnwBJLY94E,https://p.scdn.co/mp3-preview/d0486463aeb3b4fc88c8bb8eed9a0c7eef1e7df8?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/7x3hXpGkI296eBLTbhbND0,"['metalcore', 'slayer']",../data/audio/Skin-Oceans.wav,../data/images/spectrograms/Skin_Oceans_spectro.png
DEATH (Ever Colder),Bury Tomorrow,DEATH (Ever Colder),https://api.spotify.com/v1/tracks/7tAUrb26TuIeZlVVvn9XdJ,https://p.scdn.co/mp3-preview/05aaacab2f2c2710b644108e24b0501de46a8d54?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/6BD4lgmnh4vy6kkCaZRDWt,"['melodic', 'metalcore', 'screamo', 'post-hardcore']",../data/audio/DEATH Ever Colder-Bury Tomorrow.wav,../data/images/spectrograms/DEATH Ever Colder_Bury Tomorrow_spectro.png
I Am That Thirst,Meshuggah,I Am That Thirst,https://api.spotify.com/v1/tracks/6haPL5fAuRJ25u2E9PQyQx,https://p.scdn.co/mp3-preview/4a6668b3392d7263a5ed53fa1bc6e20ab3821b3f?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/3ggwAqZD3lyT2sbovlmfQY,"['alternative', 'metal', 'djent', 'progressive', 'groove', 'technical', 'thrash']",../data/audio/I Am That Thirst-Meshuggah.wav,../data/images/spectrograms/I Am That Thirst_Meshuggah_spectro.png
Nemesis,Manafest,Nemesis,https://api.spotify.com/v1/tracks/1dVSJUkVNi36hr7VKiCWIt,https://p.scdn.co/mp3-preview/2d4ec7f14b66ba54be539672dfbd248e8da7a497?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/4uOFEWy9mIcvQbr03IbPcL,"['christian', 'alternative', 'rock', 'hip', 'hop', 'rap']",../data/audio/Nemesis-Manafest.wav,../data/images/spectrograms/Nemesis_Manafest_spectro.png
Warriors,Onlap,Warriors,https://api.spotify.com/v1/tracks/0TzW5MLm6GmDBDISSEj8Zm,https://p.scdn.co/mp3-preview/26b928c0e62f1d15abdf663d47ada1df982393ef?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/5vkIUHgmiNIPn4Beoh2QPc,['gymcore'],../data/audio/Warriors-Onlap.wav,../data/images/spectrograms/Warriors_Onlap_spectro.png
Abrakadabra,Hardcore Superstar,Abrakadabra (Japan Edition),https://api.spotify.com/v1/tracks/2htPaFATsHA9oCTbpGHx9r,https://p.scdn.co/mp3-preview/91add1884cdf611d7d4a8a09586142efc6f6740a?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/57b3sKD9pGilMb2QlMqArq,"['glam', 'metal', 'sleaze', 'rock', 'alternative', 'hard']",../data/audio/Abrakadabra-Hardcore Superstar.wav,../data/images/spectrograms/Abrakadabra_Hardcore Superstar_spectro.png
VirUS (feat. Marcus Bischoff of Heaven Shall Burn),Caliban,VirUS (feat. Marcus Bischoff of Heaven Shall Burn),https://api.spotify.com/v1/tracks/1eHQcUWeaxirrRU0FWiUM3,https://p.scdn.co/mp3-preview/046e897a0f45b8eecd8be640f5bc91fed9209a58?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/1oeo6cC9Fqa2bxxv67qBQL,"['deathcore', 'metalcore', 'post-hardcore', 'melodic']",../data/audio/VirUS feat Marcus Bischoff of Heaven Shall Burn-Caliban.wav,../data/images/spectrograms/VirUS feat Marcus Bischoff of Heaven Shall Burn_Caliban_spectro.png
Midwinter Calls,Evergrey,Midwinter Calls,https://api.spotify.com/v1/tracks/6rnE3rORv6kUDLoFlgNrq4,https://p.scdn.co/mp3-preview/9a41707e2b1e6e4f1cf1fd6b084b1350b338e57e?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/4S0foX2r0RlC12KBW8u73D,"['melodic', 'metal', 'neo', 'classical', 'power', 'progressive']",../data/audio/Midwinter Calls-Evergrey.wav,../data/images/spectrograms/Midwinter Calls_Evergrey_spectro.png
The Collapse,Secrets,The Collapse,https://api.spotify.com/v1/tracks/73SwJ3c98zHkLHeH0X48Th,https://p.scdn.co/mp3-preview/300d7004ec95204d01cc77a7a84e566890b8f57c?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/1TRVqozKc5Qk1cjwRdWBSl,"['metalcore', 'pop', 'punk', 'post-hardcore', 'screamo']",../data/audio/The Collapse-Secrets.wav,../data/images/spectrograms/The Collapse_Secrets_spectro.png
Nothing Left To Lose,Octopus Montage,Nothing Left To Lose,https://api.spotify.com/v1/tracks/4MM38L2wAvNsxFERKNYCY6,https://p.scdn.co/mp3-preview/df5af27de01e6dfd8ad0957629c179ba7f7a6436?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/1fTRB21pCaxDms0xwplYiG,"['pop', 'punk']",../data/audio/Nothing Left To Lose-Octopus Montage.wav,../data/images/spectrograms/Nothing Left To Lose_Octopus Montage_spectro.png
Acid Haze,Abbath,Dread Reaver,https://api.spotify.com/v1/tracks/5AG01j4cCNcjjH6227kzKv,https://p.scdn.co/mp3-preview/da2829987103dd6a33639950ddc3280712434f2b?cid=016bbd488622437fa723a88f3f51b789,https://api.spotify.com/v1/artists/1epGwdbjU7JSGVBHlqptpx,"['black rock', 'black', 'metal']",../data/audio/Acid Haze-Abbath.wav,../data/images/spectrograms/Acid Haze_Abbath_spectro.png
